id,question,option1,option2,option3,option4,correctOption
1,"Vilka länder utgjorde Axelmakterna?","Storbritannien, USA, Sovjetunionen","Tyskland, Italien, Japan","Frankrike, Kina, USA","Polen, Ungern, Rumänien","Tyskland, Italien, Japan"
2,"Vad var Blitzkrieg?","En tysk krigsstrategi","En fredsplan","En ekonomisk reform","En politisk ideologi","En tysk krigsstrategi"
3,"Vilket datum inleddes Andra världskriget?","1 september 1939","7 december 1941","6 juni 1944","15 augusti 1945","1 september 1939"
4,"Vilken händelse fick USA att gå med i kriget?","Slaget om Stalingrad","D-dagen","Attacken på Pearl Harbor","Invasionen av Polen","Attacken på Pearl Harbor"
5,"Vad var D-dagen?","Invasionen av Normandie","Ett möte mellan världsledare","Invasionen av Sovjetunionen","Fällandet av atombomberna","Invasionen av Normandie"
6,"Vilket år avslutades Andra världskriget?","1943","1945","1947","1950","1945"
7,"Vad ledde till Japans kapitulation?","Invasionen av Polen","Operation Barbarossa","Atombomberna på Hiroshima och Nagasaki","Slaget om Midway","Atombomberna på Hiroshima och Nagasaki"
8,"Vilken händelse markerade starten på Andra världskriget?","Invasionen av Frankrike","Invasionen av Polen","Attacken på Pearl Harbor","Slaget vid Midway","Invasionen av Polen"
9,"Vilken strategi använde Tyskland för snabba attacker?","Kalla kriget","Blixtkrig","Skyttegravskrig","Guerrillaattacker","Blixtkrig"
10,"Vilken konflikt ledde till skapandet av FN?","Första världskriget","Andra världskriget","Koreakriget","Kalla kriget","Andra världskriget"
11,"Vilken roll spelade Versaillesfördraget i att orsaka Andra världskriget?","Det löste globala konflikter","Det tvingade Tyskland till hårda fredsvillkor","Det skapade FN","Det stärkte Axelmakterna","Det tvingade Tyskland till hårda fredsvillkor"
12,"Vad kännetecknade USA under 1920-talet?","Ekonomisk kollaps","Snabb teknologisk utveckling och välstånd","Kommunistisk revolution","Militarisering","Snabb teknologisk utveckling och välstånd"
13,"Vad var \"The New Deal\"?","En ny allians","En ekonomisk reform av Roosevelt","Ett politiskt parti","Ett fredsavtal","En ekonomisk reform av Roosevelt"
14,"Vad var en viktig orsak till Hitlers maktövertagande?","Militär seger","Starkt folkligt stöd","Missnöje efter Versaillesfreden","Industriell framgång","Missnöje efter Versaillesfreden"
15,"Vilket land invaderade Tyskland först?","Frankrike","Sovjetunionen","Polen","Storbritannien","Polen"
16,"Vad var fascismens mål i Italien?","Att skapa en demokrati","Att bygga ett nytt romerskt imperium","Att skapa fred i Europa","Att industrialisera landet","Att bygga ett nytt romerskt imperium"
17,"Vad var Gulag under Stalin?","Ett utbildningssystem","Ett nätverk av arbetsläger","Ett ekonomiskt program","En militär strategi","Ett nätverk av arbetsläger"
18,"Vilken händelse markerade starten på den ryska revolutionen?","Attacken på Pearl Harbor","Abdikation av tsaren","Invasionen av Polen","Skapandet av FN","Abdikation av tsaren"
19,"Vad var målet med Stalins femårsplaner?","Att främja demokrati","Att industrialisera Sovjetunionen","Att avveckla kollektivisering","Att återuppliva tsarväldet","Att industrialisera Sovjetunionen"
20,"Vad var \"Roaring Twenties\" i USA?","En period av ekonomisk tillväxt och kulturell blomstring","En tid av krig och oro","En era av politiska reformer","En fas av kollektivisering","En period av ekonomisk tillväxt och kulturell blomstring"
21,"Vilken ideologi låg bakom Tysklands upptrappning?","Kommunism","Fascism","Nazism","Kapitalism","Nazism"
22,"Vad försökte Axelmakterna uppnå?","Fred och stabilitet","Global dominans","Samarbete med de allierade","Avskaffa krig","Global dominans"
23,"Vilken front blev en vändpunkt för kriget?","Östfronten","Nordafrika","Västfronten","Stilla havet","Östfronten"
24,"Vad var den huvudsakliga konsekvensen av D-dagen?","Tyskland vann kriget","De allierade invaderade Sovjetunionen","De allierade öppnade en ny front","Japan kapitulerade","De allierade öppnade en ny front"
25,"Vilket av följande länder var inte med i de allierade?","USA","Japan","Storbritannien","Sovjetunionen","Japan"
26,"Vilken organisation bildades efter kriget för att främja fred?","EU","FN","NATO","Warszawapakten","FN"
27,"Vilket land blev en supermakt tillsammans med USA efter kriget?","Storbritannien","Frankrike","Sovjetunionen","Japan","Sovjetunionen"
28,"Vad var Förintelsen?","Ett slag under Andra världskriget","Systematiskt folkmord på judar och andra grupper","En militär strategi","En ekonomisk plan","Systematiskt folkmord på judar och andra grupper"
29,"Vilket land anföll Japan som en del av sin expansion i Asien?","Kina","Sydkorea","Australien","Filippinerna","Kina"
30,"Vilken teknologi bidrog till britternas seger i Slaget om Storbritannien?","Radar","Kärnvapen","Kryptering","Tankar","Radar"
31,"Vilka var de långsiktiga konsekvenserna av Andra världskriget?","Global fred och stabilitet","Kalla kriget och avkolonisering","Industrialisering av Japan och Kina","Fredsavtalet i Versailles","Kalla kriget och avkolonisering"
32,"Vad var Nationernas Förbunds roll innan Andra världskriget?","Främja handel","Förhindra konflikter","Stärka Axelmakterna","Skapa FN","Förhindra konflikter"
33,"Vilket land hade det största antalet civila dödsfall under Andra världskriget?","Tyskland","Sovjetunionen","Kina","Japan","Sovjetunionen"
34,"Vilken händelse var en vändpunkt i Stillahavskriget?","Slaget vid Midway","Invasionen av Kina","Pearl Harbor","Atombomberna","Slaget vid Midway"
35,"Vad var syftet med Nürnbergrättegångarna?","Att skapa FN","Att döma krigsförbrytare","Att skriva fredsavtal","Att straffa civila","Att döma krigsförbrytare"